store_id,treatment,price,sales_A,sales_B
1,0,200.0,24.0,18.9
2,1,195.0,27.2,32.2
3,0,200.0,18.1,18.1
4,1,195.0,34.6,26.1
5,0,200.0,16.2,24.3
6,1,195.0,18.3,16.3
7,0,200.0,21.9,4.7
8,1,195.0,8.2,15.5
9,0,200.0,11.9,22.5
10,1,195.0,14.7,8.7
11,0,200.0,31.7,18.2
12,1,195.0,22.5,8.6
13,0,200.0,15.6,20.9
14,1,195.0,12.8,23.0
15,0,200.0,15.2,17.7
16,1,195.0,17.2,34.8
17,0,200.0,19.9,11.5
18,1,195.0,28.6,10.2
19,0,200.0,21.7,4.3
20,1,195.0,11.4,21.6
21,0,200.0,25.9,21.4
22,1,195.0,21.1,17.6
23,0,200.0,8.2,14.2
24,1,195.0,18.3,28.5
25,0,200.0,22.7,5.9
26,1,195.0,24.6,16.9
27,0,200.0,14.6,24.9
28,1,195.0,30.2,27.5
29,0,200.0,13.3,17.5
30,1,195.0,24.7,27.8
31,0,200.0,16.2,18.5
32,1,195.0,13.1,10.4
33,0,200.0,26.5,30.8
34,1,195.0,21.4,28.0
35,0,200.0,22.9,14.8
36,1,195.0,24.9,32.3
37,0,200.0,19.7,32.5
38,1,195.0,1.0,26.6
39,0,200.0,20.7,17.6
40,1,195.0,22.7,4.1
41,0,200.0,18.2,22.9
42,1,195.0,33.8,15.9
43,0,200.0,13.5,16.0
44,1,195.0,29.3,22.6
45,0,200.0,15.8,24.1
46,1,195.0,22.8,27.7
47,0,200.0,14.4,17.4
48,1,195.0,18.9,8.3
49,0,200.0,22.4,22.1
50,1,195.0,22.0,18.1
51,0,200.0,8.7,16.6
52,1,195.0,19.3,13.6
53,0,200.0,18.7,23.2
54,1,195.0,37.1,21.4
55,0,200.0,22.1,19.4
56,1,195.0,6.6,19.8
57,0,200.0,20.5,39.7
58,1,195.0,20.5,22.4
59,0,200.0,19.7,10.7
60,1,195.0,31.1,26.0
61,0,200.0,26.3,12.7
62,1,195.0,33.2,8.8
63,0,200.0,24.7,37.5
64,1,195.0,14.1,15.5
65,0,200.0,20.8,16.0
66,1,195.0,9.6,20.5
67,0,200.0,11.5,23.8
68,1,195.0,14.6,32.4
69,0,200.0,13.7,17.4
70,1,195.0,28.5,10.2
71,0,200.0,21.8,30.5
72,1,195.0,9.1,21.5
73,0,200.0,22.1,26.3
74,1,195.0,12.1,9.4
75,0,200.0,24.2,22.4
76,1,195.0,24.0,22.8
77,0,200.0,14.6,21.9
78,1,195.0,24.3,14.3
79,0,200.0,34.9,23.8
80,1,195.0,12.5,25.3
81,0,200.0,12.2,26.3
82,1,195.0,31.3,13.4
83,0,200.0,27.7,23.3
84,1,195.0,28.6,35.2
85,0,200.0,18.0,14.0
86,1,195.0,14.9,13.5
87,0,200.0,19.4,22.7
88,1,195.0,24.2,26.6
89,0,200.0,20.1,31.6
90,1,195.0,19.9,41.8
91,0,200.0,25.0,13.1
92,1,195.0,13.4,23.9
93,0,200.0,18.2,25.7
94,1,195.0,25.8,19.4
95,0,200.0,13.2,7.9
96,1,195.0,18.4,26.9
97,0,200.0,21.7,10.0
98,1,195.0,23.4,23.1
99,0,200.0,12.9,21.2
100,1,195.0,22.5,10.9
101,0,200.0,22.9,24.5
102,1,195.0,30.7,28.4
103,0,200.0,9.0,12.5
104,1,195.0,26.1,24.1
105,0,200.0,24.1,50.8
106,1,195.0,26.6,29.1
107,0,200.0,27.6,25.2
108,1,195.0,19.5,26.1
109,0,200.0,13.8,18.1
110,1,195.0,18.1,20.7
111,0,200.0,38.5,5.1
112,1,195.0,27.5,7.1
113,0,200.0,16.2,28.7
114,1,195.0,22.5,11.4
115,0,200.0,14.3,25.4
116,1,195.0,16.2,21.7
117,0,200.0,20.4,14.8
118,1,195.0,39.2,25.1
119,0,200.0,3.8,21.5
120,1,195.0,16.7,26.8
121,0,200.0,13.7,19.1
122,1,195.0,26.0,26.9
123,0,200.0,10.4,17.3
124,1,195.0,18.2,14.8
125,0,200.0,34.1,23.2
126,1,195.0,11.9,27.3
127,0,200.0,37.0,28.3
128,1,195.0,9.8,16.1
129,0,200.0,30.1,14.3
130,1,195.0,25.6,26.2
131,0,200.0,12.6,19.5
132,1,195.0,0.0,11.8
133,0,200.0,18.0,10.0
134,1,195.0,35.1,8.6
135,0,200.0,16.5,21.0
136,1,195.0,33.5,8.5
137,0,200.0,29.3,20.1
138,1,195.0,14.1,23.7
139,0,200.0,21.6,15.2
140,1,195.0,22.6,16.9
141,0,200.0,20.9,25.3
142,1,195.0,34.7,10.1
143,0,200.0,37.1,4.4
144,1,195.0,20.8,24.7
145,0,200.0,22.2,15.0
146,1,195.0,20.3,16.1
147,0,200.0,15.3,26.8
148,1,195.0,24.9,14.5
149,0,200.0,27.2,22.5
150,1,195.0,28.5,25.0
151,0,200.0,13.4,15.5
152,1,195.0,28.0,24.9
153,0,200.0,19.8,20.9
154,1,195.0,32.2,15.3
155,0,200.0,24.4,18.4
156,1,195.0,20.3,28.8
157,0,200.0,26.6,26.5
158,1,195.0,32.4,20.2
159,0,200.0,25.5,17.5
160,1,195.0,24.6,19.0
161,0,200.0,20.8,24.8
162,1,195.0,15.5,36.7
163,0,200.0,12.0,10.3
164,1,195.0,31.3,26.3
165,0,200.0,25.0,25.0
166,1,195.0,21.9,12.8
167,0,200.0,20.6,14.6
168,1,195.0,29.8,18.8
169,0,200.0,13.4,17.4
170,1,195.0,25.3,15.5
171,0,200.0,13.4,21.9
172,1,195.0,24.0,15.9
173,0,200.0,16.2,21.9
174,1,195.0,10.4,8.7
175,0,200.0,14.3,18.3
176,1,195.0,24.5,31.8
177,0,200.0,26.9,18.7
178,1,195.0,21.8,12.0
179,0,200.0,19.9,17.7
180,1,195.0,24.6,13.4
181,0,200.0,24.2,32.3
182,1,195.0,21.1,23.2
183,0,200.0,25.5,16.8
184,1,195.0,23.8,20.1
185,0,200.0,20.8,13.8
186,1,195.0,22.2,24.0
187,0,200.0,31.6,27.7
188,1,195.0,39.2,13.9
189,0,200.0,27.0,21.5
190,1,195.0,39.5,13.5
191,0,200.0,13.3,15.2
192,1,195.0,5.0,15.8
193,0,200.0,13.9,21.2
194,1,195.0,24.7,35.0
195,0,200.0,27.6,15.4
196,1,195.0,14.8,23.9
197,0,200.0,9.4,34.7
198,1,195.0,31.4,16.2
199,0,200.0,6.3,30.8
200,1,195.0,21.1,29.9
201,0,200.0,7.2,15.2
202,1,195.0,22.0,20.4
203,0,200.0,16.4,25.0
204,1,195.0,13.5,18.9
205,0,200.0,21.0,24.1
206,1,195.0,27.7,11.0
207,0,200.0,7.7,30.2
208,1,195.0,24.7,14.0
209,0,200.0,32.4,20.9
210,1,195.0,31.4,20.5
211,0,200.0,36.5,34.0
212,1,195.0,20.0,27.8
213,0,200.0,25.2,30.9
214,1,195.0,14.3,25.5
215,0,200.0,28.5,5.9
216,1,195.0,12.5,3.7
217,0,200.0,17.8,25.7
218,1,195.0,34.0,20.6
219,0,200.0,33.0,9.0
220,1,195.0,8.4,19.6
221,0,200.0,23.1,19.7
222,1,195.0,5.5,19.3
223,0,200.0,9.6,25.4
224,1,195.0,24.9,12.5
225,0,200.0,15.9,11.5
226,1,195.0,21.5,27.6
227,0,200.0,12.1,24.0
228,1,195.0,17.8,13.7
229,0,200.0,19.1,11.7
230,1,195.0,17.6,10.4
231,0,200.0,35.7,20.3
232,1,195.0,16.4,21.7
233,0,200.0,19.1,18.2
234,1,195.0,26.9,26.1
235,0,200.0,15.8,15.4
236,1,195.0,19.8,1.6
237,0,200.0,7.9,30.9
238,1,195.0,35.2,18.0
239,0,200.0,24.6,22.5
240,1,195.0,46.6,29.0
241,0,200.0,19.0,12.4
242,1,195.0,9.1,21.6
243,0,200.0,13.9,8.6
244,1,195.0,16.8,11.3
245,0,200.0,33.5,27.1
246,1,195.0,21.9,31.8
247,0,200.0,20.6,13.1
248,1,195.0,34.2,24.3
249,0,200.0,11.7,18.5
250,1,195.0,15.0,8.9
251,0,200.0,27.4,35.3
252,1,195.0,10.8,24.5
253,0,200.0,14.8,16.1
254,1,195.0,17.3,13.1
255,0,200.0,20.4,13.4
256,1,195.0,24.2,19.6
257,0,200.0,18.1,12.7
258,1,195.0,17.4,26.0
259,0,200.0,24.0,12.2
260,1,195.0,22.8,26.0
261,0,200.0,6.6,24.3
262,1,195.0,16.7,24.6
263,0,200.0,13.9,5.6
264,1,195.0,9.0,20.4
265,0,200.0,22.1,12.8
266,1,195.0,27.1,6.7
267,0,200.0,19.5,10.3
268,1,195.0,16.8,20.4
269,0,200.0,13.1,16.9
270,1,195.0,30.1,15.4
271,0,200.0,26.7,11.0
272,1,195.0,26.2,31.5
273,0,200.0,0.2,13.6
274,1,195.0,26.6,18.4
275,0,200.0,23.0,15.2
276,1,195.0,22.7,18.8
277,0,200.0,29.3,22.0
278,1,195.0,24.7,16.7
279,0,200.0,16.1,16.5
280,1,195.0,25.2,16.6
281,0,200.0,22.3,36.6
282,1,195.0,29.0,17.4
283,0,200.0,29.6,16.7
284,1,195.0,5.7,11.9
285,0,200.0,5.0,17.2
286,1,195.0,22.1,33.4
287,0,200.0,22.6,18.2
288,1,195.0,28.6,2.3
289,0,200.0,21.9,26.2
290,1,195.0,10.2,29.2
291,0,200.0,22.7,16.7
292,1,195.0,27.1,38.2
293,0,200.0,21.5,22.0
294,1,195.0,18.3,13.2
295,0,200.0,26.6,13.2
296,1,195.0,22.6,16.2
297,0,200.0,23.8,22.7
298,1,195.0,30.3,15.9
299,0,200.0,17.8,12.2
300,1,195.0,18.4,23.0
301,0,200.0,26.1,12.6
302,1,195.0,29.0,30.8
303,0,200.0,23.3,35.0
304,1,195.0,15.8,10.0
305,0,200.0,5.8,32.0
306,1,195.0,27.2,19.6
307,0,200.0,22.2,11.0
308,1,195.0,41.6,21.0
309,0,200.0,20.9,25.8
310,1,195.0,25.8,21.8
311,0,200.0,13.7,23.8
312,1,195.0,37.1,30.8
313,0,200.0,32.7,15.9
314,1,195.0,14.1,19.0
315,0,200.0,20.4,28.8
316,1,195.0,8.5,32.2
317,0,200.0,18.7,16.6
318,1,195.0,13.9,6.8
319,0,200.0,26.6,20.6
320,1,195.0,11.7,9.6
321,0,200.0,17.3,33.4
322,1,195.0,19.9,8.0
323,0,200.0,18.0,17.8
324,1,195.0,0.4,19.6
325,0,200.0,18.2,25.6
326,1,195.0,36.8,29.0
327,0,200.0,17.8,11.1
328,1,195.0,42.6,20.5
329,0,200.0,20.1,19.8
330,1,195.0,23.6,18.8
331,0,200.0,15.4,15.6
332,1,195.0,21.7,15.7
333,0,200.0,14.3,20.9
334,1,195.0,20.0,32.0
335,0,200.0,0.0,28.7
336,1,195.0,32.0,3.4
337,0,200.0,17.3,17.0
338,1,195.0,10.7,13.8
339,0,200.0,11.1,34.0
340,1,195.0,29.5,30.2
341,0,200.0,25.8,11.0
342,1,195.0,17.8,23.9
343,0,200.0,10.2,25.7
344,1,195.0,20.1,17.0
345,0,200.0,25.7,23.6
346,1,195.0,19.1,29.3
347,0,200.0,11.4,24.9
348,1,195.0,26.7,17.5
349,0,200.0,22.6,10.0
350,1,195.0,29.4,18.5
351,0,200.0,15.8,28.4
352,1,195.0,16.4,8.7
353,0,200.0,7.5,24.8
354,1,195.0,11.8,34.0
355,0,200.0,3.3,33.6
356,1,195.0,23.7,19.2
357,0,200.0,15.6,23.2
358,1,195.0,21.7,28.8
359,0,200.0,20.9,21.2
360,1,195.0,19.1,19.5
361,0,200.0,22.5,6.3
362,1,195.0,11.2,25.9
363,0,200.0,21.4,18.5
364,1,195.0,22.1,22.8
365,0,200.0,15.7,13.8
366,1,195.0,23.6,12.2
367,0,200.0,23.3,6.4
368,1,195.0,30.2,23.8
369,0,200.0,22.0,27.9
370,1,195.0,35.3,28.1
371,0,200.0,5.3,9.8
372,1,195.0,17.0,20.2
373,0,200.0,24.1,14.2
374,1,195.0,23.5,14.0
375,0,200.0,15.1,8.7
376,1,195.0,14.6,9.2
377,0,200.0,12.2,28.4
378,1,195.0,14.4,41.1
379,0,200.0,23.9,21.5
380,1,195.0,15.1,25.6
381,0,200.0,15.4,21.0
382,1,195.0,42.5,19.2
383,0,200.0,29.2,14.4
384,1,195.0,21.7,34.2
385,0,200.0,15.0,34.5
386,1,195.0,27.7,15.5
387,0,200.0,25.1,27.8
388,1,195.0,27.0,7.4
389,0,200.0,14.2,18.0
390,1,195.0,21.4,25.0
391,0,200.0,21.4,9.3
392,1,195.0,25.0,24.9
393,0,200.0,24.5,28.6
394,1,195.0,28.7,23.7
395,0,200.0,19.4,6.7
396,1,195.0,25.4,21.7
397,0,200.0,22.2,9.8
398,1,195.0,13.4,28.4
399,0,200.0,19.7,25.5
400,1,195.0,22.2,20.2
401,0,200.0,27.5,15.9
402,1,195.0,22.8,16.3
403,0,200.0,16.5,17.5
404,1,195.0,23.8,16.2
405,0,200.0,30.0,12.8
406,1,195.0,20.5,16.5
407,0,200.0,31.6,21.6
408,1,195.0,30.3,8.1
409,0,200.0,22.1,27.1
410,1,195.0,22.7,28.5
411,0,200.0,15.9,31.3
412,1,195.0,40.4,17.1
413,0,200.0,16.4,31.6
414,1,195.0,34.6,15.8
415,0,200.0,16.6,17.7
416,1,195.0,11.2,12.7
417,0,200.0,12.0,13.9
418,1,195.0,21.7,21.9
419,0,200.0,32.4,12.0
420,1,195.0,29.9,18.3
421,0,200.0,19.6,25.4
422,1,195.0,13.0,23.1
423,0,200.0,21.3,23.9
424,1,195.0,24.3,39.6
425,0,200.0,14.9,15.8
426,1,195.0,17.0,15.6
427,0,200.0,14.9,29.5
428,1,195.0,33.4,15.4
429,0,200.0,13.3,23.8
430,1,195.0,17.6,25.1
431,0,200.0,21.6,7.9
432,1,195.0,34.4,34.4
433,0,200.0,15.1,16.9
434,1,195.0,24.3,22.7
435,0,200.0,25.3,36.1
436,1,195.0,20.6,13.6
437,0,200.0,9.0,14.2
438,1,195.0,21.7,34.4
439,0,200.0,15.9,21.8
440,1,195.0,21.9,29.5
441,0,200.0,40.2,15.8
442,1,195.0,18.1,28.4
443,0,200.0,25.5,34.8
444,1,195.0,26.7,17.1
445,0,200.0,24.7,28.9
446,1,195.0,28.6,24.1
447,0,200.0,28.5,29.4
448,1,195.0,33.1,25.2
449,0,200.0,18.7,21.2
450,1,195.0,31.7,13.5
451,0,200.0,22.9,16.9
452,1,195.0,22.2,30.2
453,0,200.0,21.5,20.4
454,1,195.0,11.1,26.0
455,0,200.0,25.2,37.3
456,1,195.0,19.5,21.8
457,0,200.0,22.0,32.6
458,1,195.0,21.2,22.2
459,0,200.0,24.9,21.5
460,1,195.0,18.4,21.6
461,0,200.0,28.6,11.8
462,1,195.0,23.1,14.4
463,0,200.0,29.6,7.8
464,1,195.0,17.5,23.0
465,0,200.0,32.5,19.5
466,1,195.0,17.6,35.0
467,0,200.0,8.4,2.4
468,1,195.0,25.5,16.0
469,0,200.0,11.8,25.7
470,1,195.0,24.0,15.5
471,0,200.0,9.8,27.0
472,1,195.0,27.2,19.2
473,0,200.0,34.8,11.4
474,1,195.0,9.8,14.5
475,0,200.0,19.6,21.9
476,1,195.0,20.1,22.8
477,0,200.0,10.0,31.6
478,1,195.0,21.3,28.9
479,0,200.0,22.7,23.7
480,1,195.0,26.6,23.6
481,0,200.0,25.1,30.6
482,1,195.0,23.6,25.7
483,0,200.0,19.3,31.5
484,1,195.0,16.6,34.4
485,0,200.0,19.7,8.6
486,1,195.0,23.0,14.6
487,0,200.0,26.7,14.8
488,1,195.0,18.4,4.9
489,0,200.0,16.4,0.6
490,1,195.0,9.3,26.1
491,0,200.0,26.3,23.4
492,1,195.0,14.3,19.6
493,0,200.0,20.0,10.7
494,1,195.0,34.0,27.0
495,0,200.0,18.2,20.2
496,1,195.0,23.7,3.7
497,0,200.0,18.0,14.5
498,1,195.0,14.0,17.8
499,0,200.0,34.4,25.1
500,1,195.0,17.4,24.6
501,0,200.0,31.2,27.4
502,1,195.0,22.5,14.8
503,0,200.0,25.6,23.1
504,1,195.0,29.2,25.1
505,0,200.0,28.4,15.7
506,1,195.0,32.5,21.6
507,0,200.0,36.6,14.5
508,1,195.0,35.9,21.6
509,0,200.0,14.8,16.1
510,1,195.0,19.4,23.4
511,0,200.0,24.2,15.4
512,1,195.0,21.8,37.1
513,0,200.0,33.8,23.5
514,1,195.0,22.3,21.0
515,0,200.0,24.9,11.8
516,1,195.0,19.9,6.7
517,0,200.0,23.2,25.2
518,1,195.0,18.1,32.6
519,0,200.0,10.2,8.3
520,1,195.0,23.8,28.4
521,0,200.0,33.5,16.3
522,1,195.0,30.6,19.7
523,0,200.0,18.6,27.1
524,1,195.0,27.2,7.4
525,0,200.0,31.8,31.0
526,1,195.0,17.0,23.2
527,0,200.0,24.0,22.1
528,1,195.0,17.6,14.6
529,0,200.0,19.8,29.4
530,1,195.0,26.3,17.0
531,0,200.0,26.2,0.0
532,1,195.0,31.2,6.1
533,0,200.0,17.1,11.0
534,1,195.0,11.6,29.3
535,0,200.0,16.3,22.8
536,1,195.0,21.6,23.8
537,0,200.0,20.6,9.7
538,1,195.0,30.0,16.0
539,0,200.0,7.5,16.6
540,1,195.0,34.0,26.8
541,0,200.0,17.2,17.2
542,1,195.0,19.4,36.6
543,0,200.0,23.1,23.4
544,1,195.0,30.2,21.9
545,0,200.0,17.9,18.4
546,1,195.0,21.4,19.7
547,0,200.0,25.8,20.4
548,1,195.0,27.9,19.4
549,0,200.0,20.6,4.0
550,1,195.0,29.3,22.8
551,0,200.0,28.0,0.0
552,1,195.0,38.7,18.9
553,0,200.0,28.9,11.7
554,1,195.0,26.9,11.6
555,0,200.0,15.0,35.3
556,1,195.0,20.5,21.7
557,0,200.0,27.0,24.0
558,1,195.0,23.2,22.9
559,0,200.0,39.2,19.5
560,1,195.0,23.6,28.4
561,0,200.0,28.8,29.5
562,1,195.0,27.1,10.9
563,0,200.0,33.1,10.8
564,1,195.0,24.4,14.0
565,0,200.0,19.5,22.6
566,1,195.0,24.6,23.4
567,0,200.0,32.9,23.6
568,1,195.0,20.0,27.7
569,0,200.0,29.5,10.2
570,1,195.0,26.8,25.6
571,0,200.0,17.6,31.0
572,1,195.0,20.8,21.0
573,0,200.0,18.6,20.1
574,1,195.0,13.2,8.5
575,0,200.0,32.8,13.2
576,1,195.0,14.1,2.8
577,0,200.0,14.9,9.4
578,1,195.0,35.1,28.1
579,0,200.0,14.5,38.0
580,1,195.0,29.9,17.4
581,0,200.0,0.0,38.3
582,1,195.0,10.9,6.8
583,0,200.0,28.2,39.5
584,1,195.0,33.1,24.5
585,0,200.0,24.8,26.8
586,1,195.0,28.1,22.2
587,0,200.0,20.8,19.5
